channel,channel_key,classification,video_id,title,url,upload_date,age_days,duration_s,duration_min,views,likes,comments,views_per_day,like_rate_pct,sb_frames,sb_interval_s,why_selected
Sleep On Physics,sleep_on_physics,Breakout-AllTime,_nLpB_Ao7zw,What Is a Photon Actually Made Of… And Why Does It Never Stand Still?,https://www.youtube.com/watch?v=_nLpB_Ao7zw,20260403,139,6511,108.5,227546,6764,478,1637.0,2.97,657,9.91,"Channel's all-time top video (227k, ~21x median) but from the earliest era (pos 121/123); used to detect production-style evolution."
Sleep On Physics,sleep_on_physics,Breakout-Modern,tvB659d_oik,Where Does Light Get Its Speed From?,https://www.youtube.com/watch?v=tvB659d_oik,20260716,35,7434,123.9,158383,3906,471,4525.2,2.47,747,9.95,"158k views, ~14x channel median, from the current production era (pos 33/123); breakout without confounding style drift."
Sleep On Physics,sleep_on_physics,Recent-Median,YBNfHLlrJkg,No One Knows If Neutrinos Are Their Own Antiparticles,https://www.youtube.com/watch?v=YBNfHLlrJkg,20260804,16,7823,130.4,11929,227,41,745.6,1.9,792,9.88,Views exactly at channel median (11k) and published recently (pos 15/123); the true typical current output.
Sleep On Physics,sleep_on_physics,Recent-Strong,BLPBP5BaU-0,What Is Electricity Made Of According to Quantum Physics?,https://www.youtube.com/watch?v=BLPBP5BaU-0,20260813,7,7848,130.8,79844,2483,129,11406.3,3.11,792,9.91,Highest-viewed video among the 12 most recent uploads (79k vs channel median 11k); represents current production standard at its best.
Calm Science,calm_science,Breakout,Nq-wJpo8Hk4,What Is Energy Made of According to Quantum Physics?,https://www.youtube.com/watch?v=Nq-wJpo8Hk4,20260629,52,7974,132.9,91004,2461,81,1750.1,2.7,801,9.96,"Channel's all-time top video (91k, ~10x median)."
Calm Science,calm_science,Breakout-Controlled,LxDfEBostXk,Where Does Light Get Its Speed From?,https://www.youtube.com/watch?v=LxDfEBostXk,20260731,20,8061,134.3,80342,1854,124,4017.1,2.31,810,9.95,80k views AND same topic/near-identical title as Sleep On Physics' breakout tvB659d_oik ('Where Does Light Get Its Speed From?') - enables a controlled same-topic A/B production comparison between the two priority channels.
Calm Science,calm_science,Recent-Median,-n6HdllViRU,The True Scale of a Single Atom,https://www.youtube.com/watch?v=-n6HdllViRU,20260814,6,7837,130.6,9266,238,7,1544.3,2.57,792,9.9,"Views exactly at channel median (9.2k), 3rd-newest video; typical current output."
Calm Science,calm_science,Recent-Strong,lqZntA10Q5g,If Energy Can’t Be Created… Where Did It Come From?,https://www.youtube.com/watch?v=lqZntA10Q5g,20260810,10,8005,133.4,63899,1598,122,6389.9,2.5,810,9.88,Highest-viewed among 12 most recent (63k vs median 9.2k); current best-performing output.
Calm Space,calm_space,Breakout,Ty6ZMyFagsU,What Voyager Detected at The Edge of Our Solar System,https://www.youtube.com/watch?v=Ty6ZMyFagsU,20260218,183,8529,142.2,1770220,25721,419,9673.3,1.45,855,9.98,"Channel's all-time top video (1.7M, ~74x median); older era (pos 151/185) - flagged for style drift."
Calm Space,calm_space,Median,Lgu_Oq8_J5I,How Many Habitable Planets Are Actually Out There?,https://www.youtube.com/watch?v=Lgu_Oq8_J5I,20260623,58,7917,131.9,23812,664,78,410.6,2.79,801,9.88,"Views at channel median (23k), mid-catalog (pos 49/185)."
Calm Space,calm_space,Recent-Strong,o2eIwICmo7w,What Would Actually Happen If You Traveled One Light Year?,https://www.youtube.com/watch?v=o2eIwICmo7w,20260811,9,7673,127.9,100812,1879,84,11201.3,1.86,774,9.91,Highest-viewed among 12 most recent (100k vs median 23k); current cosmic-atmosphere standard.
Sleepy Science Channel,sleepy_science,Breakout,xg8ieJQIB70,100 Facts About the Milky Way Galaxy — Fall Asleep to Astronomy,https://www.youtube.com/watch?v=xg8ieJQIB70,20250725,391,7200,120.0,2353340,31084,1000,6018.8,1.32,729,9.88,"Channel's all-time top video (2.3M, ~49x median); older era (pos 275/290) - flagged for style drift."
Sleepy Science Channel,sleepy_science,Median,A0vVW7PWnm4,The Most Relaxing Facts About Mind & Body to Fall Asleep To — No Adverts,https://www.youtube.com/watch?v=A0vVW7PWnm4,20260317,156,8080,134.7,44875,781,19,287.7,1.74,810,9.98,"Views at channel median (44k), mid-catalog (pos 97/290)."
Sleepy Science Channel,sleepy_science,Recent-Strong,BA59TWIMNG4,Extreme Cosmic Events | 100 Facts to Fall Asleep To,https://www.youtube.com/watch?v=BA59TWIMNG4,20260810,10,9902,165.0,39948,580,24,3994.8,1.45,999,9.91,Highest-viewed among 12 most recent (39k); largest channel in sample (328k subs).
Cosmo Explains,cosmo_explains,Breakout,gmq4gqCytlY,Every Confusing Thing About The Theory of Relativity Explained Slowly (For Sleep),https://www.youtube.com/watch?v=gmq4gqCytlY,20260512,100,7603,126.7,198908,1909,75,1989.1,0.96,765,9.94,"Channel's all-time top video (198k, ~50x median)."
Cosmo Explains,cosmo_explains,Recent-Median,WHh8Q-gNZAk,The Entire History Of Nuclear Physics Explained Slowly (For Sleep),https://www.youtube.com/watch?v=WHh8Q-gNZAk,20260808,12,7760,129.3,4017,63,4,334.8,1.57,783,9.91,"Views at channel median (4.0k), recent (pos 10/134); weakest-performing channel in sample - used as a contrast/negative reference."
Cosmo Explains,cosmo_explains,Recent-Strong,xXuMfbr0V9o,Everything About Radio Frequency Explained Slowly (For Sleep),https://www.youtube.com/watch?v=xXuMfbr0V9o,20260810,10,7960,132.7,30325,672,36,3032.5,2.22,801,9.94,Highest-viewed among 12 most recent (30k vs median 3.95k).
